formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
MgCrO4,mp-19120,2.3991,-2.185497340833333,0.0,12,144.76612491605178,3.218590985678326,Cmcm,63,orthorhombic,4.986412312664888,4.986412538191916,6.33674738,90.0,90.0,113.2477485681633,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCr2O4,mp-1049295,1.331,-2.5840263145238103,0.044889569047609004,42,456.04367391477086,4.201084842988648,P3m1,156,trigonal,5.984659486436049,5.984659486436049,14.702693,90.0,90.0,119.99999432263138,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCr2O4,mp-19202,3.1390000000000002,-2.6289158835714233,0.0,14,146.07696859371575,4.371846305109737,Fd-3m,227,cubic,5.911518361219945,5.911517232671274,5.911517920000172,59.999972246029714,59.999981376296525,59.99996483876338,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCr2O4,mp-2740514,0.34949999999999903,-2.588500358333329,0.040415525238092005,42,437.4680232211524,4.379470188740335,Cm,8,monoclinic,5.914074000477509,5.887811375904518,14.487011935059567,90.00051544338388,89.2783072190062,119.85286475695014,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCr6O16,mp-2223528,1.6019,-1.876001899782608,0.048368329999999,23,343.99704815601183,2.859009399427392,P1,1,triclinic,5.531055854655058,8.31900334457638,7.4777142208740495,91.14605923108073,90.31476315836288,90.0213609107705,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCr6O16,mp-2234316,1.6709,-1.894030818913043,0.030339410869563002,23,304.2034277297113,3.2330036561164572,P2,3,monoclinic,5.553513471666923,8.50622015800091,6.44241862226439,91.69139656125765,90.01858027639214,89.99381347176144,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Al3Cr,mp-867780,0.0,-0.15663263999999802,0.0,4,58.03391651727654,3.80386617646166,I4/mmm,139,tetragonal,4.836067811266611,4.836067811266611,4.836067811266611,133.74726177601056,133.74726177601056,67.48302922167453,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al11Cr4,mp-1214894,0.0,-0.150564295466665,0.002587619199999,15,222.3447751773958,3.769861958391592,P-1,2,triclinic,5.099079130260581,5.148642915021491,8.959489703747083,74.28008993075595,89.59568906532033,79.42228313194045,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al45Cr7,mp-31019,0.0,-0.09345293211538401,0.0,52,790.73389370402,3.314093856218589,C2/m,12,monoclinic,7.486975044964509,10.844834617710292,10.875382988776504,106.3906575423865,110.13397647586946,90.0000019469297,bi-metallic metal,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al19CrO30,mp-757340,3.9429,-3.369452651599999,0.004100194449998,50,441.0987781616557,3.9325533940000232,P1,1,triclinic,4.820305,5.191217515805035,19.974578813431485,94.38213140070214,89.98721538542594,117.65083172732479,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3CrO6,mp-1228485,3.8929,-3.147947862999999,0.013612335250000001,40,351.85693006955734,4.321745483375596,R3,146,trigonal,7.078057780190509,7.077506923184047,8.34671349150864,113.1495156402341,113.14756686192449,85.82216611977535,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CrO5,mp-773505,0.036599999999999,-2.876227499375,0.033254703749998005,16,150.79331650289544,4.095506406747981,C2,5,monoclinic,4.965304393720289,5.385056304326446,6.838052451298542,70.88103286512332,89.99282115125882,62.544464326563194,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al2CrO5,mp-754713,0.327399999999999,-2.8714373228125,0.038044880312497004,32,327.14538579981814,3.775538464786916,Cmcm,63,orthorhombic,5.058287763342651,7.18547696979456,10.249382353405984,74.62419369285898,82.7987835481053,110.2480265426533,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
Al3CrO6,mp-762236,3.3694,-3.146080477999999,0.015479720249999001,20,175.9429387628686,4.3213899603325,Pc,7,monoclinic,5.18061848603288,4.815498233122593,7.08809673651033,89.99999130771837,95.7368471383934,90.00000164136911,bi-metallic oxide,Al,Al[+3],Passivation,Al2O3(s),Passivation
ScCrO3,mp-18961,2.417799999999999,-3.130813287000001,0.036846917874999004,20,207.8888721409463,4.6312337405873905,Pnma,62,orthorhombic,5.0888840000001965,5.407961000000185,7.5539680000003315,89.99998182042835,90.00002642872559,90.00002185371906,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Ti2CrO5,mp-19369,0.2987,-3.091858370520834,0.032222336979168,32,357.83035427023685,4.227139945628454,C2/c,15,monoclinic,5.2001330000025,10.309679752437075,7.0679768806164756,109.20859023281884,89.99997187597062,89.99990205381633,bi-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
Ti2Cr3O12,mp-772950,0.7843,-2.291028517156864,0.046433333176471005,68,1074.3811668949563,2.743183818531562,Pbcn,60,orthorhombic,9.148173,9.178297,12.795637,90.0,90.0,90.0,bi-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
TiCr7O12,mp-753458,0.0,-2.4601977281666683,0.038167063791668,20,206.9297033242489,4.845546288546025,P1,1,triclinic,5.0882,5.466958006040746,7.475578136499477,95.67222671529471,90.04823970431127,90.00269345682261,bi-metallic oxide,Ti,TiO2[+2],Passivation,TiO2[+2],Passivation
V3Cr,mp-1187695,0.0,0.045187074999999,0.045187074999999,4,50.846825305193256,6.688964471292457,Fm-3m,225,cubic,4.1584001712808645,4.1584001712808645,4.1584001712808645,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic metal,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-753988,1.315,-2.4393506949999972,0.011217036125003,20,199.00531148478836,5.037750813353188,P1,1,triclinic,5.0307822397668405,5.401564805081386,7.365080514855631,83.9002835238565,89.90972670941797,89.8336497116049,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-754036,1.3624,-2.439794715999997,0.010773015125003001,20,198.72935474740822,5.044746263421216,P1,1,triclinic,5.007635475898827,5.403755490625577,8.936806949961934,85.37969345006844,73.35687724142282,117.61006366325331,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-755281,0.029799999999999,-2.438258902499998,0.012308828625002,20,198.97723319771274,5.03846170580696,P1,1,triclinic,4.9924489926670965,5.401119034280049,8.967664417699876,85.14506014291108,73.64565190715749,117.58182458639821,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-757023,1.345499999999999,-2.437314119499999,0.013253611625001,20,199.08241372395443,5.035799752680351,P1,1,triclinic,5.049218900760646,5.388211068514149,7.358600108390744,96.05204108470468,90.21383634164896,89.86897558142583,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-770778,1.3901000000000001,-2.437594931999997,0.012972799125002,20,199.09235298037535,5.035548351236363,P1,1,triclinic,5.051755539031088,5.411071110133853,8.893147610409862,85.39857856300013,73.50958820460652,118.03140513373613,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-770779,1.680699999999999,-2.441186287499998,0.009381443625002001,20,199.00476310146337,5.03776469552615,P1,1,triclinic,5.018231746078005,5.405271683280656,8.915471720530315,85.18651829770677,73.64886519687197,117.59964689314509,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-770843,0.0,-2.439380242499999,0.011187488625001001,20,198.9786550917356,5.038425701148166,P1,1,triclinic,5.028424472296621,5.4089467313088555,7.357009563142099,96.06643300726374,90.07953017375014,89.94044254231922,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-770849,1.4095,-2.439438889999998,0.011128841125001001,20,198.97637091413105,5.038483540473991,P1,1,triclinic,5.038280512151542,5.413247208458222,8.894540312719373,85.1533931369761,73.64880115985302,117.87386464287474,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO4,mp-17831,2.310499999999999,-2.343416291666668,0.01924658447912,24,281.77972200843095,3.9350229919297073,C2/m,12,monoclinic,6.595742228913109,6.595739719778405,6.829491977498113,77.05933489667024,77.05938285361187,84.11601358373422,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-1216392,1.613299999999999,-2.443056250999997,0.007511480125003,10,99.6975000973038,5.027905257482025,R3c,161,trigonal,5.029768250029639,5.398022947349973,5.030166204900709,62.22542167502507,119.9973277417527,90.00014994620513,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-1101715,1.612299999999999,-2.440865693499996,0.009702037625004,20,198.97063809352017,5.038628711251776,P-1,2,triclinic,5.015817819238412,5.401852690851388,8.92349397431616,85.22156065055887,73.50997016945978,117.51382703660313,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
V2CrO7,mp-773503,0.6825000000000001,-2.198481662249999,0.045066846875002,40,644.0411417479893,2.742033883612509,Pa-3,205,cubic,8.635839,8.635839,8.635839,90.0,90.0,90.0,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO3,mp-770855,1.4293,-2.439021399,0.011546332125000001,20,198.94886664348786,5.039180100435685,C2,5,monoclinic,5.409658461542849,5.409658461542849,8.645320398396656,74.38234801651956,74.38234801651956,55.6428743959042,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCrO4,mp-19418,1.9112,-2.354943370833332,0.007719505312454001,12,138.28293791227176,4.009206419472294,Cmcm,63,orthorhombic,4.971517874992241,4.97151785612276,6.03281317,90.0,90.0,111.96573252059264,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCr2O6,mp-1101261,0.0,-2.213218027777777,0.04445751020831001,18,183.62489733597323,4.538374044925493,P4_2/mnm,136,tetragonal,4.553329,4.553329,8.856732,90.0,90.0,90.0,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
V4Cr2O13,mp-1200219,2.3584,-2.361630009605264,0.0,76,1176.326960762548,2.91219606922689,P2_1/c,14,monoclinic,9.551551,8.484196,14.904479232621648,76.88776704636392,90.0,90.0,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
V4Cr2O13,mp-831249,2.3222,-2.354838629078948,0.006791380526316001,76,1155.1836906246751,2.9654978503079743,P2_1/c,14,monoclinic,9.41057,8.593764,14.72341377176628,75.96779325466427,90.0,90.0,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VCr2O6,mp-773509,0.0,-2.209259339166667,0.048416198819420005,36,364.0010264147844,4.578879770091996,Pbcn,60,orthorhombic,4.442104000569212,16.658318000008794,4.9190670006185115,90.00001852755894,89.99817569765058,90.00011006446496,bi-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
Mn5CrO8,mp-1221988,0.3824,-2.1077263806896562,0.014343292499999001,14,155.35020147630195,4.860093053943926,C2/m,12,monoclinic,6.118972479311479,6.118972479311479,5.8757007813282724,61.61149064879645,61.61149064879645,57.12298206181706,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn2CrO4,mp-34139,0.638,-2.189480853694581,0.004249252142855001,14,153.68047246142524,4.881109541797925,C2/c,15,monoclinic,5.906256766634864,6.004231051434008,5.906658522286319,118.48196447463525,90.85188828975586,118.47497053955489,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn2CrO4,mp-765581,0.347599999999999,-2.17830156119458,0.015428544642857001,28,306.93113428687195,4.887944797534738,P-1,2,triclinic,5.937826237729877,5.964231250081621,10.364558191361773,75.44831521242234,74.3303331271315,61.35856562788211,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn2CrO4,mp-675077,0.0,-2.161024506551723,0.032705599285714,14,157.95800743468087,4.74892810248744,C2/c,15,monoclinic,6.058233871050209,6.058233531738109,6.021709055196706,119.23848413065245,119.23848365494037,91.37557342404165,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
MnCr2O4,mp-28226,2.2026,-2.337050971133004,0.0,14,151.07905148966802,4.9004860965885175,Fd-3m,227,cubic,5.978217233505171,5.978215210482576,5.9782343500587105,60.00031439434975,60.00032483234628,60.00029747358318,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
Mn3Cr3O8,mp-1290512,0.621699999999999,-2.254467164199506,0.010923374285715002,28,301.6628669522337,4.940919732312908,Cm,8,monoclinic,6.004223721857179,5.9691887050175705,10.253461390240838,73.07523460333955,88.73120546082765,60.17692899396494,bi-metallic oxide,Mn,MnO4[-1],Passivation,MnO4[-1],Passivation
